,name,variable,relative_importance,scaled_importance,percentage,sign
1,車體險主約代號,BODY_MAIN,9953.453125,1,0.497706809,0
2,保費,DISCOUNT_PREMIUM,3117.625,0.313220443,0.155891947,-1
3,承保地區代號,UNIT_NO,1139.823853,0.114515419,0.056995104,0
4,被保人是否曾為主肇責人,INS_IS_MAIN_CAUSE,747.6331787,0.075112945,0.037384224,-1
5,車體賠款紀錄點數,BODY_CLAIM_CODE,703.9521484,0.070724415,0.035200023,-1
6,經紀人代號,BROKER_NO,645.5598755,0.064857881,0.032280209,0
7,險種代號,CATEGORY_CODE,510.366272,0.051275298,0.025520065,0
8,保額,INSRNCE_AMOUNT,399.6137085,0.040148248,0.019982057,-1
9,被保人投保年齡,INS_AGE,308.2572937,0.030969885,0.015413922,-1
10,車齡,CAR_AGE,175.9718933,0.017679482,0.008799198,-1
11,被保人是否曾申請道路救援,INS_IS_REPAIR,166.1966705,0.016697388,0.008310404,-1
12,輔導單位理賠金額,CONCLUDE_NTD_AMOUNT_AGN,148.3660126,0.014905984,0.00741881,0
13,輔導單位總保費,DISCOUNT_PREMIUM_AGN,141.4308624,0.014209226,0.007072028,0
14,輔導單位案件數,POLICY_COUNT_AGN,133.6860352,0.013431121,0.00668476,0
15,是否保同業強制險,IS_TRADE_FORCE,125.0441055,0.012562887,0.006252634,0
16,被保人發照年期,INS_ISSUE_YEAR,117.4660263,0.011801535,0.005873704,1
17,輔導單位平均損率,LOSS_RATE_AGN,113.9449158,0.011447777,0.005697637,-1
18,折舊率,DEPRECIA_RATE,91.74776459,0.009217682,0.004587703,-1
19,介紹人制別,INTRDUCE_KIND,78.34654999,0.007871293,0.003917596,0
20,因擦撞申請理賠報案次數,BUMP_CNT,71.30137634,0.007163481,0.003565313,-1
21,為肇事駕駛人理賠次數＿近三年,DRIVER_TIMES_3Y,42.73138809,0.004293122,0.002136716,-1
22,近三年理賠金額＿其他,THREE_INSUR_AMOUNT_OTHER,40.29231644,0.004048074,0.002014754,-1
23,為肇事駕駛人理賠金額＿近三年,DRIVER_CONCLUDE_AMOUNT_3Y,39.73221207,0.003991802,0.001986747,-1
24,被保人婚姻,INS_MARRIAGE,37.626297,0.003780225,0.001881444,0
25,近三年理賠次數＿駕駛人傷害險,THREE_INSUR_CNT_COM,36.92840576,0.00371011,0.001846547,-1
26,是否高價/稀有車,IS_HPRICE_CAR,34.35067749,0.003451132,0.001717652,-1
27,因擦撞申請理賠報案次數＿以車輛歸戶,BUMP_CNT_C,31.30305862,0.003144945,0.00156526,-1
28,投保附約＿天氣災害損害,IS_WEATHER,29.593153,0.002973154,0.001479759,0
29,是否限定駕駛人,LIMIT_DRIVER,27.26497459,0.002739248,0.001363342,0
30,被保人是否肇事多次,INS_IS_CLAIM_MANY,25.72344398,0.002584374,0.00128626,-1
31,投保附約＿無折舊,IS_DEPRECIATION,25.40005493,0.002551884,0.00127009,0
32,近三年理賠金額＿車體險,THREE_INSUR_AMOUNT_BODY,22.28744888,0.002239168,0.001114449,-1
33,近一年理賠金額＿以車輛歸戶,ONE_INSUR_AMOUNT_C,22.23466492,0.002233864,0.00111181,-1
34,要保人是否為嚴予核保客戶,APC_IS_INSUR_STRICT,20.61797523,0.002071439,0.00103097,-1
35,因擦撞申請理賠報案次數＿第三責任險,BUMP_CNT_THIRD,20.61630249,0.002071271,0.001030886,-1
36,經手人類別,AGENT_KIND,20.03818893,0.00201319,0.001001978,0
37,為肇事駕駛人理賠次數＿近一年,DRIVER_TIMES_1Y,18.81830978,0.001890631,0.00094098,-1
38,近三年理賠金額,THREE_INSUR_AMOUNT,18.36982918,0.001845573,0.000918554,-1
39,近三年理賠金額＿第三責任險,THREE_INSUR_AMOUNT_THIRD,18.28240395,0.00183679,0.000914183,-1
40,為肇事駕駛人理賠次數＿近兩年,DRIVER_TIMES_2Y,17.89160728,0.001797528,0.000894642,-1
41,近一年理賠金額＿第三責任險,ONE_INSUR_AMOUNT_THIRD,17.86326408,0.00179468,0.000893224,-1
42,近一年理賠金額＿車體險＿以車輛歸戶,ONE_INSUR_AMOUNT_BODY_C,16.67514992,0.001675313,0.000833815,-1
43,近三年理賠金額＿以車輛歸戶,THREE_INSUR_AMOUNT_C,16.33764458,0.001641405,0.000816938,-1
44,近二年理賠金額,TWO_INSUR_AMOUNT,16.25108147,0.001632708,0.00081261,-1
45,近二年理賠次數,TWO_INSUR_CNT,16.02665138,0.00161016,0.000801388,-1
46,近一年理賠金額＿駕駛人傷害險,ONE_INSUR_AMOUNT_COM,16.01115417,0.001608603,0.000800613,-1
47,近二年理賠金額＿第三責任險,TWO_INSUR_AMOUNT_THIRD,15.51452827,0.001558708,0.00077578,-1
48,近一年理賠金額＿其他,ONE_INSUR_AMOUNT_OTHER,15.29356384,0.001536508,0.000764731,-1
49,投保附約＿免追償,IS_RECOVERY,14.58265972,0.001465085,0.000729183,0
50,被保人性別,INS_SEX,14.57988071,0.001464806,0.000729044,0
51,為肇事駕駛人理賠金額＿近兩年,DRIVER_CONCLUDE_AMOUNT_2Y,14.53873158,0.001460672,0.000726986,-1
52,核保準則結果,POLICY_RESULT_CODE,14.2624445,0.001432914,0.000713171,-1
53,為肇事駕駛人理賠金額＿近一年,DRIVER_CONCLUDE_AMOUNT_1Y,14.24932289,0.001431596,0.000712515,-1
54,要保人性別,APC_SEX,14.04792976,0.001411362,0.000702445,0
55,近三年理賠次數＿車體險,THREE_INSUR_CNT_BODY,13.58321095,0.001364673,0.000679207,-1
56,被保人是否為嚴予核保客戶       ,INS_IS_INSUR_STRICT,13.46226883,0.001352522,0.00067316,-1
57,被保人是否在特別關注名單,INS_SIP,12.7455864,0.001280519,0.000637323,-1
58,投保附約＿不明刮損,IS_UNCLEAR,12.1919136,0.001224893,0.000609638,0
59,近三年理賠金額＿駕駛人傷害險,THREE_INSUR_AMOUNT_COM,12.02952003,0.001208578,0.000601517,-1
60,近二年理賠金額＿車體險,TWO_INSUR_AMOUNT_BODY,11.5303545,0.001158428,0.000576557,-1
61,近三年理賠次數,THREE_INSUR_CNT,11.45928192,0.001151287,0.000573003,-1
62,近三年理賠次數＿以車輛歸戶,THREE_INSUR_CNT_C,11.33658409,0.00113896,0.000566868,-1
63,新車註記,IS_NEW_CAR,11.1499157,0.001120206,0.000557534,0
64,近二年理賠金額＿以車輛歸戶,TWO_INSUR_AMOUNT_C,10.10385895,0.001015111,0.000505228,-1
65,近一年理賠金額＿車體險,ONE_INSUR_AMOUNT_BODY,9.369207382,0.000941302,0.000468493,-1
66,強制險等級是否異動,IS_FORCE_DEGREE_CH,9.199233055,0.000924225,0.000459993,0
67,近一年理賠金額,ONE_INSUR_AMOUNT,8.739917755,0.000878079,0.000437026,-1
68,因擦撞申請理賠報案次數＿車體險＿以車輛歸戶,BUMP_CNT_BODY_C,8.462682724,0.000850226,0.000423163,-1
69,近一年理賠次數＿以車輛歸戶,ONE_INSUR_CNT_C,8.102497101,0.000814039,0.000405153,-1
70,近二年理賠金額＿其他,TWO_INSUR_AMOUNT_OTHER,7.697575569,0.000773357,0.000384905,-1
71,近一年理賠次數,ONE_INSUR_CNT,7.560630798,0.000759599,0.000378057,-1
72,近一年理賠次數＿第三責任險,ONE_INSUR_CNT_THIRD,7.450761795,0.00074856,0.000372564,-1
73,近二年理賠金額＿車體險＿以車輛歸戶,TWO_INSUR_AMOUNT_BODY_C,7.358221531,0.000739263,0.000367936,-1
74,因擦撞申請理賠報案次數＿第三責任險＿以車輛歸戶,BUMP_CNT_THIRD_C,7.100670815,0.000713388,0.000355058,-1
75,加裝配備註記,IS_ADD_OUTFIT,7.000942707,0.000703368,0.000350071,0
76,近二年理賠次數＿駕駛人傷害險,TWO_INSUR_CNT_COM,6.722954273,0.000675439,0.000336171,-1
77,近一年理賠次數＿車體險,ONE_INSUR_CNT_BODY,6.143135548,0.000617186,0.000307178,-1
78,是否曾因擦撞申請理賠報案＿以車輛歸戶,IS_BUMP_C,6.039745808,0.000606799,0.000302008,-1
79,近一年理賠次數＿其他,ONE_INSUR_CNT_OTHER,5.626936436,0.000565325,0.000281366,-1
80,近二年理賠次數＿第三責任險,TWO_INSUR_CNT_THIRD,5.400725365,0.000542598,0.000270055,-1
81,近二年理賠次數＿車體險,TWO_INSUR_CNT_BODY,5.118769169,0.000514271,0.000255956,-1
82,近二年理賠金額＿強制險,TWO_INSUR_AMOUNT_FORCE,4.921972275,0.000494499,0.000246116,-1
83,因擦撞申請理賠報案次數＿駕駛人傷害險,BUMP_CNT_COM,4.893918037,0.00049168,0.000244713,-1
84,近三年理賠金額＿強制險,THREE_INSUR_AMOUNT_FORCE,4.818620682,0.000484115,0.000240948,-1
85,是否曾因擦撞申請理賠報案,IS_BUMP,4.800192833,0.000482264,0.000240026,-1
86,近三年理賠金額＿其他＿以車輛歸戶,THREE_INSUR_AMOUNT_OTHER_C,4.421336174,0.000444201,0.000221082,-1
87,近三年理賠金額＿車體險＿以車輛歸戶,THREE_INSUR_AMOUNT_BODY_C,4.382766247,0.000440326,0.000219153,-1
88,是否曾因擦撞申請理賠報案＿駕駛人傷害險,IS_BUMP_COM,4.271650791,0.000429163,0.000213597,-1
89,近二年理賠次數＿其他,TWO_INSUR_CNT_OTHER,4.247033596,0.000426689,0.000212366,-1
90,近二年理賠次數＿駕駛人傷害險＿以車輛歸戶,TWO_INSUR_CNT_COM_C,4.226243973,0.000424601,0.000211327,-1
91,近一年理賠次數＿駕駛人傷害險,ONE_INSUR_CNT_COM,4.031516075,0.000405037,0.00020159,-1
92,近三年理賠次數＿第三責任險,THREE_INSUR_CNT_THIRD,3.830890417,0.000384881,0.000191558,-1
93,是否曾因擦撞申請理賠報案＿第三責任險,IS_BUMP_THIRD,3.620911121,0.000363784,0.000181058,-1
94,因擦撞申請理賠報案次數＿車體險,BUMP_CNT_BODY,3.560144901,0.000357679,0.000178019,-1
95,因擦撞申請理賠報案次數＿其他,BUMP_CNT_OTHER,3.430363178,0.000344641,0.00017153,-1
96,要保人與被保人關係,APC_RELATION_INS,3.26388669,0.000327915,0.000163206,0
97,近二年理賠次數＿以車輛歸戶,TWO_INSUR_CNT_C,3.018360138,0.000303248,0.000150928,-1
98,近三年理賠次數＿其他,THREE_INSUR_CNT_OTHER,2.940834045,0.000295459,0.000147052,-1
99,近一年理賠金額＿第三責任險＿以車輛歸戶,ONE_INSUR_AMOUNT_THIRD_C,2.720726967,0.000273345,0.000136046,-1
