,name,variable,relative_importance,scaled_importance,percentage,sign
1,保費,DISCOUNT_PREMIUM,1054.754028,1,0.241966005,-1
2,車體險主約代號,BODY_MAIN,975.2091064,0.924584387,0.22371799,0
3,被保人是否曾為主肇責人,INS_IS_MAIN_CAUSE,328.6976318,0.311634393,0.075404929,-1
4,承保地區代號,UNIT_NO,313.1046448,0.296850864,0.071827818,0
5,因擦撞申請理賠報案次數＿以車輛歸戶,BUMP_CNT_C,173.6997681,0.164682725,0.039847621,-1
6,險種代號,CATEGORY_CODE,162.2484436,0.153825858,0.037220628,0
7,因擦撞申請理賠報案次數＿車體險＿以車輛歸戶,BUMP_CNT_BODY_C,121.074379,0.114789207,0.027775086,-1
8,車種代號,VEHICLE_KIND_NO,99.60586548,0.09443516,0.022850098,0
9,被保人投保年齡,INS_AGE,65.09393311,0.061714799,0.014932883,-1
10,被保人發照年期,INS_ISSUE_YEAR,60.53179169,0.057389486,0.013886305,1
11,近一年理賠金額＿以車輛歸戶,ONE_INSUR_AMOUNT_C,59.41488647,0.056330561,0.013630081,-1
12,車齡,CAR_AGE,58.12934875,0.055111758,0.013335172,-1
13,近二年理賠次數＿以車輛歸戶,TWO_INSUR_CNT_C,51.09134293,0.048439107,0.011720617,-1
14,保額,INSRNCE_AMOUNT,47.71376801,0.045236867,0.010945784,-1
15,近三年理賠次數＿駕駛人傷害險,THREE_INSUR_CNT_COM,47.70162964,0.045225359,0.010942999,-1
16,被保人是否曾申請道路救援,INS_IS_REPAIR,38.61704636,0.036612372,0.008858949,-1
17,因擦撞申請理賠報案次數＿第三責任險＿以車輛歸戶,BUMP_CNT_THIRD_C,37.59806824,0.03564629,0.00862519,-1
18,輔導單位總保費,DISCOUNT_PREMIUM_AGN,35.94795227,0.034081835,0.008246645,0
19,經紀人代號,BROKER_NO,33.64367676,0.031897178,0.007718033,0
20,近三年理賠次數,THREE_INSUR_CNT,32.56364059,0.030873208,0.007470267,-1
21,近一年理賠金額＿車體險,ONE_INSUR_AMOUNT_BODY,31.58666992,0.029946954,0.007246145,-1
22,是否曾因擦撞申請理賠報案＿以車輛歸戶,IS_BUMP_C,30.22377014,0.028654804,0.006933488,-1
23,核保準則結果,POLICY_RESULT_CODE,25.79302788,0.024454069,0.005917053,-1
24,輔導單位理賠金額,CONCLUDE_NTD_AMOUNT_AGN,24.52894402,0.023255606,0.005627066,0
25,輔導單位案件數,POLICY_COUNT_AGN,22.88412666,0.021696174,0.005249736,0
26,為肇事駕駛人理賠金額＿近三年,DRIVER_CONCLUDE_AMOUNT_3Y,21.16081047,0.020062318,0.004854399,-1
27,車體賠款紀錄點數,BODY_CLAIM_CODE,20.63917351,0.01956776,0.004734733,-1
28,因擦撞申請理賠報案次數,BUMP_CNT,17.80661583,0.016882245,0.004084929,-1
29,輔導單位平均損率,LOSS_RATE_AGN,16.24604225,0.015402683,0.003726926,-1
30,近三年理賠次數＿車體險,THREE_INSUR_CNT_BODY,13.62956619,0.012922033,0.003126693,-1
31,近三年理賠次數＿以車輛歸戶,THREE_INSUR_CNT_C,13.36839008,0.012674415,0.003066778,-1
32,近三年理賠次數＿第三責任險,THREE_INSUR_CNT_THIRD,13.335289,0.012643032,0.003059184,-1
33,近一年理賠金額＿其他,ONE_INSUR_AMOUNT_OTHER,12.67267227,0.012014813,0.002907176,-1
34,近三年理賠金額＿車體險,THREE_INSUR_AMOUNT_BODY,12.31582546,0.011676491,0.002825314,-1
35,近二年理賠金額＿第三責任險＿以車輛歸戶,TWO_INSUR_AMOUNT_THIRD_C,11.71930027,0.011110932,0.002688468,-1
36,近一年理賠次數＿以車輛歸戶,ONE_INSUR_CNT_C,11.70088768,0.011093475,0.002684244,-1
37,近二年理賠金額＿以車輛歸戶,TWO_INSUR_AMOUNT_C,10.5325098,0.00998575,0.002416212,-1
38,介紹人制別,INTRDUCE_KIND,10.43257332,0.009891001,0.002393286,0
39,折舊率,DEPRECIA_RATE,9.504238129,0.009010857,0.002180321,-1
40,為肇事駕駛人理賠次數＿近三年,DRIVER_TIMES_3Y,9.461802483,0.008970625,0.002170586,-1
41,近二年理賠金額＿車體險＿以車輛歸戶,TWO_INSUR_AMOUNT_BODY_C,8.80004406,0.008343219,0.002018775,-1
42,為肇事駕駛人理賠金額＿近兩年,DRIVER_CONCLUDE_AMOUNT_2Y,8.681369781,0.008230705,0.001991551,-1
43,因擦撞申請理賠報案次數＿第三責任險,BUMP_CNT_THIRD,8.092396736,0.007672307,0.001856437,-1
44,近三年理賠金額＿車體險＿以車輛歸戶,THREE_INSUR_AMOUNT_BODY_C,7.779598236,0.007375746,0.00178468,-1
45,近一年理賠金額＿車體險＿以車輛歸戶,ONE_INSUR_AMOUNT_BODY_C,7.684155941,0.007285259,0.001762785,-1
